race_id,modele,cheval,cote,ev,mise,date_detection,resultat,gain_euros
23072026_4_4,v1.4,MILLENIUM JOSSELYN,10.0,0.2175582496027375,2.99,2026-07-23T13:14:17.361152+00:00,PERDANT,-2.99
23072026_4_4,v1.4,MARQUIS DE MALAC,11.0,0.10123335378368181,1.25,2026-07-23T13:14:17.361152+00:00,GAGNANT,12.50
23072026_4_4,v1.5,MILLENIUM JOSSELYN,10.0,0.22663305250162136,3.11,2026-07-23T13:14:17.361152+00:00,PERDANT,-3.11
23072026_4_5,v1.4,LA CANDEUR,6.7,0.1555594928321573,3.37,2026-07-23T13:45:47.600061+00:00,PERDANT,-3.37
23072026_4_5,v1.5,LA CANDEUR,6.7,0.14769535804898215,3.2,2026-07-23T13:45:47.600061+00:00,PERDANT,-3.20
23072026_4_7,v1.4,JILANZA DU MOULIN,4.4,0.25796062705918565,9.42,2026-07-23T15:01:04.498094+00:00,PERDANT,-9.42
23072026_4_7,v1.4,IYAR,6.2,0.183996208265911,4.4,2026-07-23T15:01:04.498094+00:00,PERDANT,-4.40
23072026_4_7,v1.4,IBIS D'AUVRECY,9.9,0.11954064369999107,1.67,2026-07-23T15:01:04.498094+00:00,PERDANT,-1.67
23072026_4_7,v1.5,JILANZA DU MOULIN,4.4,0.27120452978909193,9.81,2026-07-23T15:01:04.498094+00:00,PERDANT,-9.81
23072026_4_7,v1.5,IYAR,6.2,0.1844335192160671,4.36,2026-07-23T15:01:04.498094+00:00,PERDANT,-4.36
23072026_4_7,v1.5,IBIS D'AUVRECY,9.9,0.11875161429139447,1.64,2026-07-23T15:01:04.498094+00:00,PERDANT,-1.64
23072026_5_1,v1.4,JOUEUR DANICA,8.2,0.11214048064463067,1.91,2026-07-23T16:01:01.231561+00:00,GAGNANT,13.75
23072026_5_1,v1.4,JACOTTE DE TIZE,14.0,0.19218200552131948,1.81,2026-07-23T16:01:01.231561+00:00,PERDANT,-1.81
23072026_5_1,v1.4,JORIA MESLOISE,6.7,0.13008831997090087,2.8,2026-07-23T16:01:01.231561+00:00,PERDANT,-2.80
23072026_5_1,v1.5,JACOTTE DE TIZE,14.0,0.19519851608747185,1.82,2026-07-23T16:01:01.231561+00:00,PERDANT,-1.82
23072026_5_1,v1.5,JOYEUX NONNA,2.1,0.10441602850191023,11.52,2026-07-23T16:01:01.231561+00:00,PERDANT,-11.52
23072026_5_1,v1.5,JORIA MESLOISE,6.7,0.10718462066177703,2.28,2026-07-23T16:01:01.231561+00:00,PERDANT,-2.28
23072026_5_2,v1.4,KAROLINE CALINE,3.9,0.14305023035117204,6.05,2026-07-23T16:45:38.538461+00:00,PERDANT,-6.05
23072026_5_2,v1.4,KID PARKER,6.8,0.12690008230241245,2.68,2026-07-23T16:45:38.538461+00:00,PERDANT,-2.68
23072026_5_2,v1.4,JOUR ET NUIT,7.8,0.3406382168574327,6.14,2026-07-23T16:45:38.538461+00:00,PERDANT,-6.14
23072026_5_2,v1.5,KAROLINE CALINE,3.9,0.12855694129270834,5.38,2026-07-23T16:45:38.538461+00:00,PERDANT,-5.38
23072026_5_2,v1.5,KID PARKER,6.8,0.10644791863104786,2.23,2026-07-23T16:45:38.538461+00:00,PERDANT,-2.23
23072026_5_2,v1.5,JOUR ET NUIT,7.8,0.3524862555741972,6.29,2026-07-23T16:45:38.538461+00:00,PERDANT,-6.29
23072026_5_3,v1.4,LA CHENEVIERE,7.2,0.12291254090616133,2.45,2026-07-23T17:15:37.024465+00:00,PERDANT,-2.45
23072026_5_3,v1.4,LABEL DE CHENU,3.2,0.25551189346601655,14.35,2026-07-23T17:15:37.024465+00:00,PERDANT,-14.35
23072026_5_3,v1.4,LEDA SAINT LATUIN,4.7,0.14629480577876386,4.89,2026-07-23T17:15:37.024465+00:00,GAGNANT,18.09
23072026_5_3,v1.4,L'AMIRAL DU SAPTEL,9.2,0.2634960583187038,3.97,2026-07-23T17:15:37.024465+00:00,PERDANT,-3.97
23072026_5_3,v1.5,LA CHENEVIERE,7.2,0.10570613216436686,2.04,2026-07-23T17:15:37.024465+00:00,PERDANT,-2.04
23072026_5_3,v1.5,LABEL DE CHENU,3.2,0.2653976143705148,14.46,2026-07-23T17:15:37.024465+00:00,PERDANT,-14.46
23072026_5_3,v1.5,LEDA SAINT LATUIN,4.7,0.12854103242136095,4.16,2026-07-23T17:15:37.024465+00:00,GAGNANT,15.39
23072026_5_3,v1.5,L'AMIRAL DU SAPTEL,9.2,0.2691339487199389,3.93,2026-07-23T17:15:37.024465+00:00,PERDANT,-3.93
23072026_5_4,v1.4,KILANTA PASMARICK,6.3,0.13376266867984654,3.08,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.4,KEZURA LORRAINE,4.7,0.3014482509652945,9.95,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.4,KIMIKO DU DOUBS,4.9,0.31497345066943283,9.86,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.4,KATINKA GEMA,7.1,0.11086239277409593,2.22,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.5,KILANTA PASMARICK,6.3,0.11565792401946062,2.58,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.5,KEZURA LORRAINE,4.7,0.308143015484752,9.86,2026-07-23T18:01:02.149749+00:00,,
23072026_5_4,v1.5,KIMIKO DU DOUBS,4.9,0.3247269304857867,9.86,2026-07-23T18:01:02.149749+00:00,,
