date_snapshot,modele,n_backtest,roi_backtest,n_direct,roi_direct,roi_combine,ic_bas,ic_haut,poids_direct
2026-08-10,v1.4,30984,0.1075,883,0.08,0.1067,0.0784,0.135,0.0277
2026-08-10,v1.5,31756,0.1391,1024,-0.0066,0.1345,0.1059,0.1632,0.0312
2026-08-10,v1.8,34248,0.1556,640,-0.0141,0.1525,0.1247,0.1803,0.0183
2026-08-10,v1.10,34379,0.1879,484,0.06,0.1861,0.1565,0.2158,0.0139
2026-08-10,place,16635,0.233,198,-0.1096,0.229,0.2128,0.2451,0.0118
2026-08-10,2sur4,10312,0.838,185,-0.7557,0.8099,0.7967,0.8231,0.0176
2026-08-10,trio,14993,1.358,157,-0.6268,1.3374,1.298,1.3768,0.0104
2026-08-10,multi,10206,4.6,122,-0.5451,4.5392,4.469,4.6095,0.0118
2026-08-10,2favori,2645,0.2501,0,,0.2501,,,0
2026-08-17,v1.4,30984,0.1075,1094,0.0358,0.1051,0.077,0.1331,0.0341
2026-08-17,v1.5,31756,0.1391,1363,-0.0249,0.1324,0.1029,0.1618,0.0412
2026-08-17,v1.8,34248,0.1556,898,-0.0318,0.1508,0.1225,0.1791,0.0256
2026-08-17,v1.10,34379,0.1879,736,-0.0337,0.1833,0.1553,0.2112,0.021
2026-08-17,place,16635,0.233,278,-0.1687,0.2264,0.2113,0.2415,0.0164
2026-08-17,2sur4,10312,0.838,263,-0.7065,0.7996,0.7846,0.8146,0.0249
2026-08-17,trio,14993,1.358,225,-0.5302,1.3301,1.2884,1.3717,0.0148
2026-08-17,multi,10206,4.6,180,-0.305,4.515,4.4284,4.6016,0.0173
2026-08-17,2favori,2645,0.2501,2,-1.0,0.2492,0.2492,0.2492,0.0008
