race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
04082026_7_3,AIX LES BAINS,12,8,3,0,0,3,1,2026-08-04T07:30:57.490081+00:00
04082026_7_4,AIX LES BAINS,11,10,1,0,0,1,0,2026-08-04T08:01:10.626528+00:00
04082026_7_5,AIX LES BAINS,12,8,1,0,0,1,3,2026-08-04T08:30:53.170266+00:00
04082026_2_1,VARIG ORKLA NORVEGE,11,0,8,2,0,10,0,2026-08-04T09:01:03.612111+00:00
04082026_7_6,AIX LES BAINS,13,11,0,0,0,0,2,2026-08-04T09:01:03.612111+00:00
04082026_3_1,WAREGEM,8,0,0,0,0,0,2,2026-08-04T09:15:48.513611+00:00
04082026_7_7,AIX LES BAINS,12,9,0,0,0,0,3,2026-08-04T09:30:49.560305+00:00
04082026_2_2,VARIG ORKLA NORVEGE,10,0,0,7,0,7,0,2026-08-04T09:45:42.962356+00:00
04082026_3_2,WAREGEM,9,0,0,2,0,2,6,2026-08-04T10:00:59.960539+00:00
04082026_7_8,AIX LES BAINS,16,8,0,0,0,0,8,2026-08-04T10:00:59.960539+00:00
04082026_2_3,VARIG ORKLA NORVEGE,12,0,1,6,0,7,0,2026-08-04T10:15:49.612669+00:00
04082026_3_3,WAREGEM,12,0,1,2,0,3,2,2026-08-04T10:30:50.823717+00:00
04082026_7_9,AIX LES BAINS,16,0,0,0,0,0,16,2026-08-04T10:30:50.823717+00:00
04082026_2_4,VARIG ORKLA NORVEGE,12,0,4,5,0,9,0,2026-08-04T10:45:41.914902+00:00
04082026_3_4,WAREGEM,10,0,0,2,0,2,8,2026-08-04T11:01:01.725408+00:00
04082026_7_10,AIX LES BAINS,12,8,0,0,0,0,4,2026-08-04T11:01:01.725408+00:00
04082026_2_5,VARIG ORKLA NORVEGE,9,9,0,0,0,0,0,2026-08-04T11:15:46.483819+00:00
04082026_4_1,LES SABLES D OLONNE,16,0,0,3,0,3,13,2026-08-04T11:31:03.082577+00:00
04082026_2_6,VARIG ORKLA NORVEGE,7,7,0,0,0,0,0,2026-08-04T11:45:38.208876+00:00
04082026_3_5,WAREGEM,9,0,0,4,0,4,0,2026-08-04T11:45:38.208876+00:00
04082026_2_7,VARIG ORKLA NORVEGE,9,9,0,0,0,0,0,2026-08-04T12:01:02.120419+00:00
04082026_4_2,LES SABLES D OLONNE,7,0,2,0,0,2,5,2026-08-04T12:01:02.120419+00:00
04082026_2_8,VARIG ORKLA NORVEGE,9,9,0,0,0,0,0,2026-08-04T12:15:39.616061+00:00
04082026_3_6,WAREGEM,8,8,0,0,0,0,0,2026-08-04T12:15:39.616061+00:00
04082026_4_3,LES SABLES D OLONNE,10,0,0,0,0,0,10,2026-08-04T12:30:55.999934+00:00
04082026_3_7,WAREGEM,8,8,0,0,0,0,0,2026-08-04T12:45:48.232966+00:00
04082026_4_4,LES SABLES D OLONNE,13,0,1,0,0,1,12,2026-08-04T13:15:45.442822+00:00
04082026_3_8,WAREGEM,9,9,0,0,0,0,0,2026-08-04T13:30:59.579838+00:00
04082026_4_5,LES SABLES D OLONNE,14,0,1,0,0,1,13,2026-08-04T13:45:39.539302+00:00
04082026_4_6,LES SABLES D OLONNE,13,0,0,0,0,0,13,2026-08-04T14:15:43.388776+00:00
04082026_4_7,LES SABLES D OLONNE,14,0,1,1,0,2,12,2026-08-04T15:01:06.028038+00:00
04082026_4_8,LES SABLES D OLONNE,11,0,0,0,0,0,11,2026-08-04T15:30:53.223669+00:00
04082026_6_1,CABOURG,14,0,0,0,0,0,14,2026-08-04T16:23:57.648011+00:00
04082026_6_2,CABOURG,16,0,0,1,0,1,15,2026-08-04T17:01:04.566168+00:00
04082026_6_3,CABOURG,12,0,0,4,0,4,8,2026-08-04T17:30:58.949239+00:00
04082026_6_4,CABOURG,12,0,0,0,0,0,12,2026-08-04T18:01:02.863750+00:00
04082026_6_5,CABOURG,9,0,8,0,0,8,1,2026-08-04T18:30:53.365941+00:00
04082026_6_6,CABOURG,10,0,0,0,0,0,10,2026-08-04T19:01:02.957109+00:00
04082026_6_7,CABOURG,8,0,8,0,0,8,0,2026-08-04T19:31:01.805892+00:00
